finished,informed_consent,screener,age,gender,nationality,base_state,position_position,air_carrier_type,experience,total_flying_hours,military_experience,general_1,general_2,general_3,general_4,general_5,general_6,financial_1,financial_2,financial_3,financial_4,financial_5,financial_6,qo_l_1,qo_l_2,qo_l_3,qo_l_4,qo_l_5,qo_l_6,professional_1,professional_2,professional_3,professional_4,professional_5,recognition_1,recognition_3,recognition_4,recognition_7,schedule_1,schedule_2,schedule_3,schedule_4,schedule_5,operational_1,operational_2,operational_3,operational_4,operational_5,leaving,when,why
TRUE,YES,YES,27,Male,United States of America,California,First Officer,Low Cost Carrier,3,3000,Never served in the military,2,1,6,5,3,4,1,2,4,3,5,6,1,2,4,6,5,3,1,3,4,5,2,2,1,3,4,5,3,1,4,2,1,2,3,5,4,Maybe,1-2 years,Bases in lower cost of living areas.
TRUE,YES,YES,28,Male,United States of America,Ohio,Captain,Regional Airline,3,2800,Never served in the military,1,4,2,5,3,6,2,5,4,3,1,6,3,6,4,2,5,1,1,4,2,5,3,3,2,1,4,1,5,2,4,3,1,2,4,5,3,Yes,1-2 years,For a better airline that has better opportunities
TRUE,YES,YES,48,Female,United States of America,Montana,Captain,Freight/Cargo Carrier,11,6800,Never served in the military,1,2,5,6,3,4,1,2,3,5,4,6,1,3,6,4,5,2,1,4,3,5,2,3,2,1,4,1,4,5,2,3,1,4,2,5,3,Yes,Within 1 year,"Unfair, unsafe, and fatiguing work rules/schedules. Company is not negotiating in good faith."
TRUE,YES,YES,34,Male,United States of America,Pennsylvania,Captain,Regional Airline,4,3600,Previously served in the military,1,2,3,6,4,5,1,4,2,6,3,5,3,4,6,1,5,2,1,2,4,3,5,3,1,2,4,2,3,1,4,5,3,5,1,2,4,Yes,1-2 years,"More pay, better 401k, better reserve schedule, higher seniority for non-reving, better ability to manipulate my scheudle."
TRUE,YES,YES,23,Male,United States of America,Ohio,First Officer,Regional Airline,1,2400,Never served in the military,1,2,4,6,3,5,1,4,2,6,3,5,2,5,6,3,4,1,2,4,3,1,5,2,3,1,4,5,3,2,1,4,1,2,3,5,4,Yes,1-2 years,"Transition to mainline, for better pay, and benefits"
TRUE,YES,YES,42,Male,United States of America,Illinois,First Officer,Regional Airline,2,2500,Never served in the military,1,6,3,2,4,5,1,3,4,5,2,6,1,5,6,2,3,4,1,2,3,5,4,1,2,3,4,1,4,2,3,5,3,1,2,5,4,Maybe,1-2 years,Fly larger aircraft that pays better
TRUE,YES,YES,58,Male,United States of America,Virginia,Captain,Regional Airline,8,7000,Previously served in the military,2,4,6,5,1,3,1,5,2,4,3,6,2,4,6,1,3,5,1,4,5,2,3,4,1,3,2,1,5,2,4,3,3,1,2,5,4,No,NA,NA
TRUE,YES,YES,25,Male,Lao People's Democratic Republic,Ohio,First Officer,Regional Airline,6,2020,Never served in the military,1,4,3,6,2,5,2,3,5,6,1,4,2,6,3,4,5,1,1,2,5,4,3,3,2,1,4,2,3,1,5,4,1,2,3,5,4,Yes,3-4 years,Want to work for an airline that has a base where I live. I currently commute.
TRUE,YES,YES,30,Male,United States of America,Indiana,First Officer,Regional Airline,3,3000,Never served in the military,4,2,5,6,1,3,2,4,6,5,1,3,3,5,4,2,6,1,1,5,4,2,3,2,4,1,3,2,3,1,4,5,5,2,3,4,1,Maybe,1-2 years,"Advancement. I genuinely enjoy my current airline, however moving to a legacy in the near future would provide greater pay and a similar schedule to upgrading at my current airline,"
TRUE,YES,YES,29,Male,United States of America,Ohio,Captain,Regional Airline,7,4000,Never served in the military,3,1,6,5,2,4,2,4,3,5,1,6,3,5,4,1,6,2,1,3,4,2,5,3,1,2,4,1,5,2,3,4,4,3,1,5,2,Maybe,over 4 years,Larger airline that offers an equal or better quality of life
TRUE,YES,YES,27,Male,United States of America,Pennsylvania,Captain,Regional Airline,3,3000,Never served in the military,1,2,5,4,3,6,1,4,5,6,3,2,1,2,5,6,3,4,2,3,1,5,4,4,3,1,2,5,1,4,2,3,5,4,2,3,1,Yes,1-2 years,The pay that comes with larger aircraft types
TRUE,YES,YES,28,Male,United States of America,Ohio,First Officer,Regional Airline,3,2137,Never served in the military,3,1,6,5,2,4,2,4,5,3,1,6,2,5,6,3,4,1,1,5,2,3,4,2,3,1,4,1,5,4,3,2,5,4,2,3,1,Maybe,over 4 years,I want to be home every night and more pay
TRUE,YES,YES,30,Male,United States of America,Tennessee,First Officer,Legacy/Mainline Part 121 Airline,7,4000,Previously served in the military,2,1,4,6,3,5,1,3,4,5,2,6,3,4,6,1,5,2,1,3,5,4,2,4,2,1,3,5,4,2,1,3,3,4,2,5,1,No,NA,NA
TRUE,YES,YES,49,Male,United States of America,Virginia,First Officer,Legacy/Mainline Part 121 Airline,4,5600,Previously served in the military,2,1,5,6,3,4,1,5,3,4,2,6,1,6,3,2,5,4,1,4,2,5,3,4,2,1,3,5,1,2,3,4,4,1,3,5,2,No,NA,NA
TRUE,YES,YES,30,Male,United States of America,New Jersey,Captain,Regional Airline,7,5500,Never served in the military,3,2,4,6,1,5,2,5,3,4,1,6,3,5,6,2,4,1,1,4,2,5,3,3,2,1,4,2,3,1,4,5,4,3,1,5,2,Yes,Within 1 year,QOL
TRUE,YES,YES,32,Male,United States of America,Kentucky,Captain,Regional Airline,8,8000,Never served in the military,4,1,5,6,2,3,2,6,1,4,3,5,4,5,6,2,3,1,1,5,4,2,3,4,2,1,3,4,5,1,3,2,3,4,2,5,1,Yes,Within 1 year,Company has made no strides to expand to change in many years. Gone as far as I can here
